"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate","Opus compression time (ms)","Opus Comp Time / Orig dur","Opus size (KB)","Opus rate","Opus sample rate","Opus Bit Rate"
"01_sopranoA","2597.778","224.349609375","44100","128","164","0.06313087569453588","42.2568359375","5.309190913082665","44100","128232","137","0.052737377866776916","46.0498046875","4.871890573640123","48000","144853"
"01_sopranoA","2597.778","224.349609375","44100","160","169","0.06505559751449123","52.4423828125","4.278020893465671","44100","160067","143","0.05504704405072335","55.8662109375","4.0158372227175","48000","175731"
"01_sopranoA","2597.778","224.349609375","44100","192","134","0.0515825447748037","62.6484375","3.5810886644219977","44100","191966","137","0.052737377866776916","65.703125","3.4145957193816883","48000","206674"
"01_sopranoA","2597.778","224.349609375","44100","224","149","0.05735671023466979","72.041015625","3.114192761285075","44100","221323","148","0.05697176587067872","75.478515625","2.9723638245568638","48000","237423"
"01_sopranoA","2597.778","224.349609375","44100","256","128","0.049272878590857265","73.802734375","3.039854976579247","44100","226829","115","0.04426860185897333","85.1416015625","2.635017491540976","48000","267819"
"01_sopranoA","2597.778","224.349609375","44100","320","146","0.05620187714269657","74.158203125","3.025283784139693","44100","227940",,,,,,
"02_sopranoB","2299.342","198.64453125","44100","8","105","0.045665238142042375","3.5556640625","55.86706948640484","44100","8370","150","0.06523605448863196","2.6103515625","76.09876543209876","48000","9273"
"02_sopranoB","2299.342","198.64453125","44100","16","118","0.051319029531057145","5.859375","33.902","44100","16495","154","0.06697568260832881","5.705078125","34.818897637795274","48000","20268"
"02_sopranoB","2299.342","198.64453125","44100","24","123","0.05349356468067821","8.119140625","24.466201587683425","44100","24466","139","0.06045207715946562","10.9248046875","18.182890855457227","48000","38812"
"02_sopranoB","2299.342","198.64453125","44100","32","135","0.058712449039768765","10.4326171875","19.040718899185624","44100","32626","137","0.05958226309961719","13.63671875","14.566886279003151","48000","48447"
"02_sopranoB","2299.342","198.64453125","44100","40","131","0.056972820920071915","12.6474609375","15.706277507528377","44100","40438","127","0.05523319280037506","16.197265625","12.264078138188834","48000","57543"
"02_sopranoB","2299.342","198.64453125","44100","48","146","0.06349642636893511","14.955078125","13.282747812459188","44100","48577","139","0.06045207715946562","18.5322265625","10.718870211308426","48000","65839"
"02_sopranoB","2299.342","198.64453125","44100","64","151","0.06567096151855617","19.578125","10.146249002394255","44100","64883","125","0.05436337874052664","24.91796875","7.971939175419345","48000","88525"
"02_sopranoB","2299.342","198.64453125","44100","80","142","0.06175679824923826","23.9951171875","8.278539741972244","44100","80462","144","0.06262661230908668","28.869140625","6.880860564237873","48000","102563"
"02_sopranoB","2299.342","198.64453125","44100","96","149","0.06480114745870776","28.533203125","6.961872818125813","44100","96469","118","0.051319029531057145","32.4951171875","6.113057851239669","48000","115445"
"02_sopranoB","2299.342","198.64453125","44100","112","160","0.0695851247878741","33.0205078125","6.015792742436341","44100","112296","141","0.06132189121931404","36.91015625","5.381839348079162","48000","131130"
"02_sopranoB","2299.342","198.64453125","44100","128","135","0.058712449039768765","37.4658203125","5.302020070376646","44100","127975","146","0.06349642636893511","41.31640625","4.807885033563393","48000","146784"
"02_sopranoB","2299.342","198.64453125","44100","160","139","0.06045207715946562","46.2724609375","4.29293206424245","44100","159038","119","0.05175393656098136","49.9638671875","3.975763735511991","48000","177506"
"02_sopranoB","2299.342","198.64453125","44100","192","122","0.053058657650753994","55.216796875","3.597538113260939","44100","190586","132","0.05740772794999613","58.5458984375","3.3929709262564427","48000","207995"
"02_sopranoB","2299.342","198.64453125","44100","224","130","0.0565379138901477","63.0771484375","3.149231317056556","44100","218310","116","0.050449215471208717","67.103515625","2.960270105073202","48000","238398"
"02_sopranoB","2299.342","198.64453125","44100","256","147","0.06393133339885933","65.216796875","3.045910574705759","44100","225857","150","0.06523605448863196","75.625","2.6267045454545452","48000","268672"
"02_sopranoB","2299.342","198.64453125","44100","320","125","0.05436337874052664","65.3876953125","3.0379497289305077","44100","226460",,,,,,
"03_mezzosoprano","4255.102","366.880859375","44100","8","105","0.024676259229508484","5.849609375","62.71886477462437","44100","8307","187","0.043947242627791296","4.6357421875","79.14177375184327","48000","8911"
"03_mezzosoprano","4255.102","366.880859375","44100","16","141","0.033136690965339964","10.1025390625","36.31570807153214","44100","16451","152","0.03572182288462181","8.7744140625","41.81257651641625","48000","16866"
"03_mezzosoprano","4255.102","366.880859375","44100","24","141","0.033136690965339964","14.322265625","25.616118914496113","44100","24531","140","0.03290167897267798","18.1455078125","20.21882568214843","48000","34880"
"03_mezzosoprano","4255.102","366.880859375","44100","32","140","0.03290167897267798","18.484375","19.848161453930686","44100","32500","150","0.03525179889929783","22.2861328125","16.462293501599405","48000","42840"
"03_mezzosoprano","4255.102","366.880859375","44100","40","164","0.03854196679656563","22.689453125","16.169665145906862","44100","40552","143","0.03360671495066393","26.3740234375","13.910689821157478","48000","50698"
"03_mezzosoprano","4255.102","366.880859375","44100","48","148","0.03478177491397386","26.8642578125","13.656839579773893","44100","48546","149","0.035016786906635844","30.376953125","12.077605606635375","48000","58393"
"03_mezzosoprano","4255.102","366.880859375","44100","64","150","0.03525179889929783","35.306640625","10.391270675443934","44100","64711","151","0.03548681089195982","40.9892578125","8.95065875681986","48000","78792"
"03_mezzosoprano","4255.102","366.880859375","44100","80","155","0.03642685886260776","43.685546875","8.398220592837662","44100","80755","136","0.03196163100203003","48.5048828125","7.5637923050594935","48000","93240"
