"Sample","Original size (KB)","Compressed size (KB)","q","qxy","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"05_countertenorA","212.814453125","4.306640625","0.30","0.70","49.41541950113378","1.5735","1.7258","0.14173195095483263","0.0006236838850612707"
"05_countertenorA","212.814453125","4.306640625","0.30","0.80","49.41541950113378","1.5735","1.7258","0.14173195095483263","0.0006236838850612707"
"05_countertenorA","212.814453125","4.306640625","0.30","0.90","49.41541950113378","1.5735","1.7258","0.14173195095483263","0.0006236838850612707"
"05_countertenorA","212.814453125","4.306640625","0.30","1.00","49.41541950113378","1.5735","1.7258","0.14173195095483263","0.0006236838850612707"
"05_countertenorA","212.814453125","3.150390625","0.40","0.00","67.55176689398635","3.75863","4.2419","0.015391513634065775","0.00011057301154616203"
"05_countertenorA","212.814453125","19.345703125","0.40","0.10","11.000605754669358","3.4731","4.30723","0.0006848295118313517","5.033577615151887E-05"
"05_countertenorA","212.814453125","11.314453125","0.40","0.20","18.809079924046262","1.92519","2.27473","0.06848283750795728","0.0002575450713479689"
"05_countertenorA","212.814453125","8.302734375","0.40","0.30","25.631851329099035","1.6754","1.75332","0.10125433722534595","0.00046567369566974116"
"05_countertenorA","212.814453125","7.298828125","0.40","0.40","29.15734546427616","1.55177","1.83518","0.12534781841328488","0.0006224087453038405"
"05_countertenorA","212.814453125","6.294921875","0.40","0.50","33.8073223704623","1.56371","1.72871","0.13456836066900563","0.0005859472537006812"
"05_countertenorA","212.814453125","5.291015625","0.40","0.60","40.2218530823182","1.57105","1.72496","0.14159270771455262","0.0006227702867530795"
"05_countertenorA","212.814453125","5.291015625","0.40","0.70","40.2218530823182","1.57105","1.72496","0.14159270771455262","0.0006227702867530795"
"05_countertenorA","212.814453125","5.291015625","0.40","0.80","40.2218530823182","1.57105","1.72496","0.14159270771455262","0.0006227702867530795"
"05_countertenorA","212.814453125","5.291015625","0.40","0.90","40.2218530823182","1.57105","1.72496","0.14159270771455262","0.0006227702867530795"
"05_countertenorA","212.814453125","5.291015625","0.40","1.00","40.2218530823182","1.57105","1.72496","0.14159270771455262","0.0006227702867530795"
"05_countertenorA","212.814453125","3.603515625","0.50","0.00","59.05745257452575","3.75846","4.23636","0.0154075396896377","0.00011044164829233779"
"05_countertenorA","212.814453125","27.607421875","0.50","0.10","7.708595684471171","3.55754","4.37746","0.0005998746477641095","4.235570962948626E-05"
"05_countertenorA","212.814453125","15.068359375","0.50","0.20","14.123266364225534","2.90072","3.18067","0.005130571689569497","0.00011839400697797133"
"05_countertenorA","212.814453125","11.306640625","0.50","0.30","18.822076351701504","1.8034","1.77103","0.09060333473221677","0.0003910397701536946"
"05_countertenorA","212.814453125","8.798828125","0.50","0.40","24.186681465038845","1.55125","1.83698","0.1253177873324197","0.0006217458324073969"
"05_countertenorA","212.814453125","7.544921875","0.50","0.50","28.206316334455085","1.56343","1.72816","0.1346064974277992","0.0005866728775394951"
"05_countertenorA","212.814453125","7.544921875","0.50","0.60","28.206316334455085","1.56343","1.72816","0.1346064974277992","0.0005866728775394951"
"05_countertenorA","212.814453125","6.291015625","0.50","0.70","33.82831418814033","1.57101","1.7238","0.14165372675378363","0.0006235220911345487"
"05_countertenorA","212.814453125","6.291015625","0.50","0.80","33.82831418814033","1.57101","1.7238","0.14165372675378363","0.0006235220911345487"
"05_countertenorA","212.814453125","6.291015625","0.50","0.90","33.82831418814033","1.57101","1.7238","0.14165372675378363","0.0006235220911345487"
"05_countertenorA","212.814453125","6.291015625","0.50","1.00","33.82831418814033","1.57101","1.7238","0.14165372675378363","0.0006235220911345487"
"05_countertenorA","212.814453125","4.056640625","0.60","0.00","52.4607607125662","3.75855","4.23733","0.015401135380848151","0.00011044388312615344"
"05_countertenorA","212.814453125","38.775390625","0.60","0.10","5.488389664030625","3.93472","4.39216","0.0005736867890710064","3.846592096399169E-05"
"05_countertenorA","212.814453125","20.775390625","0.60","0.20","10.2435837172135","2.76138","3.37022","0.002627779304797596","0.00010311737730120304"
"05_countertenorA","212.814453125","14.775390625","0.60","0.30","14.403304692663582","1.82473","1.88372","0.08516088197814993","0.00034399747170125484"
"05_countertenorA","212.814453125","11.775390625","0.60","0.40","18.072814728810748","1.67874","1.69053","0.10127772319724078","0.0004650008774323986"
"05_countertenorA","212.814453125","8.775390625","0.60","0.50","24.25127976852882","1.56341","1.776","0.13427972725296758","0.0005831632082472825"
"05_countertenorA","212.814453125","8.775390625","0.60","0.60","24.25127976852882","1.56341","1.776","0.13427972725296758","0.0005831632082472825"
"05_countertenorA","212.814453125","7.275390625","0.60","0.70","29.251275167785234","1.57372","1.72476","0.1411779584784104","0.0006200208899284638"
"05_countertenorA","212.814453125","7.275390625","0.60","0.80","29.251275167785234","1.57372","1.72476","0.1411779584784104","0.0006200208899284638"
"05_countertenorA","212.814453125","7.275390625","0.60","0.90","29.251275167785234","1.57372","1.72476","0.1411779584784104","0.0006200208899284638"
"05_countertenorA","212.814453125","7.275390625","0.60","1.00","29.251275167785234","1.57372","1.72476","0.1411779584784104","0.0006200208899284638"
"05_countertenorA","212.814453125","4.509765625","0.70","0.00","47.18969250757904","3.75877","4.23177","0.015420143955420589","0.000110836349860094"
"05_countertenorA","212.814453125","50.166015625","0.70","0.10","4.242203620790344","4.04","4.4206","0.000575892369166952","3.716978040142895E-05"
"05_countertenorA","212.814453125","25.720703125","0.70","0.20","8.274052699521604","3.03825","3.84292","0.002139619934246427","8.646833817413739E-05"
"05_countertenorA","212.814453125","18.736328125","0.70","0.30","11.358386323360785","1.96388","2.28508","0.06849684223115109","0.00025792471018755"
"05_countertenorA","212.814453125","13.498046875","0.70","0.40","15.76631457097381","1.69826","1.75516","0.10128412921728847","0.0004658651335674339"
"05_countertenorA","212.814453125","11.751953125","0.70","0.50","18.10885823500083","1.56068","1.83503","0.12496394771842206","0.000610795143336552"
"05_countertenorA","212.814453125","10.005859375","0.70","0.60","21.26898301776303","1.57181","1.74654","0.1338952909318608","0.0005786777552873147"
"05_countertenorA","212.814453125","8.259765625","0.70","0.70","25.765192716954363","1.58413","1.7069","0.14109096360569257","0.0006196584759876341"
"05_countertenorA","212.814453125","8.259765625","0.70","0.80","25.765192716954363","1.58413","1.7069","0.14109096360569257","0.0006196584759876341"
"05_countertenorA","212.814453125","8.259765625","0.70","0.90","25.765192716954363","1.58413","1.7069","0.14109096360569257","0.0006196584759876341"
"05_countertenorA","212.814453125","8.259765625","0.70","1.00","25.765192716954363","1.58413","1.7069","0.14109096360569257","0.0006196584759876341"
"05_countertenorA","212.814453125","4.962890625","0.80","0.00","42.88114915387643","3.75713","4.09552","0.015445887650604005","0.000114461659134687"
"05_countertenorA","212.814453125","65.150390625","0.80","0.10","3.266510777348083","4.3465","4.4288","0.0006036819524345071","4.076154961702971E-05"
"05_countertenorA","212.814453125","33.212890625","0.80","0.20","6.407586004116436","3.40656","4.29706","0.000994518787308215","6.741753013634903E-05"
